node_id,name,ytag,pdu,backplane,type,parent,status,site,property,serialno,model,ponumber,locroom,locrow,locarea,loccage,locrack,locside,locshelf,racksize,console,cport,bootbox,bport,bmodule,bplug,bootbox2,bport2,bmodule2,bplug2,netswitch (Manual),sport (Manual) (Auto-discovered),netswitch (Auto-discovered),sport (Auto-discovered),vlan,mac,manufacturer,osname,bornondate,atime,c_time,m_time,notes,validation_status,procurement_ticket
195484,m44.grp.scd.yahoo.com,1020160,,a,host,,active,scd,groups|US,GB3MXB1,PowerEdge 2850,,0,3,B,0,9,a,26,2,konsole283.scd.yahoo.com,30028,konsole220.scd.yahoo.com,30041,0,3,,0,0,0,,0,,,,00:18:8b:32:06:48,Dell Computer Corporation,FreeBSD,1169133004,1232662394,2007-01-18 07:10:04,2009-01-22 14:13:14,,unvalidated nodes,
195485,m45.grp.scd.yahoo.com,1020139,,a,host,,active,scd,groups|US,JKTLXB1,PowerEdge 2850,,0,3,B,0,9,a,28,2,konsole283.scd.yahoo.com,30026,konsole220.scd.yahoo.com,30007,0,10,,0,0,0,,0,,,,00:18:8b:32:09:1d,Dell Computer Corporation,FreeBSD,1169133005,1232662394,2007-01-18 07:10:05,2009-01-22 14:13:14,,unvalidated nodes,
195486,m46.grp.scd.yahoo.com,1020158,,a,host,,active,scd,groups|US,DC3MXB1,PowerEdge 2850,,0,3,B,0,9,a,30,2,konsole283.scd.yahoo.com,30025,konsole220.scd.yahoo.com,30007,0,11,,0,0,0,,0,,,,00:18:8b:32:09:3e,Dell Computer Corporation,FreeBSD,1169133006,1232662394,2007-01-18 07:10:06,2009-01-22 14:13:14,,unvalidated nodes,
195487,m47.grp.scd.yahoo.com,1020177,,a,host,,active,scd,groups|US,91CMXB1,PowerEdge 2850,,0,3,B,0,9,a,32,2,konsole283.scd.yahoo.com,30029,konsole220.scd.yahoo.com,30007,0,12,,0,0,0,,0,,,,00:18:8b:32:1c:f9,Dell Computer Corporation,FreeBSD,1169133006,1232662394,2007-01-18 07:10:06,2009-01-22 14:13:14,,unvalidated nodes,
199880,m48.grp.scd.yahoo.com,1020241,,a,host,,active,scd,groups|US,D8DNXB1,PowerEdge 2850,,0,13,E,0,10,a,2,1,konsole122.scd.yahoo.com,30007,konsole16.scd.yahoo.com,30048,0,1,konsole29.scd.yahoo.com,30001,0,1,,0,,,,00:18:8b:31:f8:6c,Dell Computer Corporation,FreeBSD,1171094344,1210842180,2007-02-09 23:59:04,2008-05-15 02:03:00,,unvalidated nodes,
199881,m49.grp.scd.yahoo.com,1020184,,a,host,,active,scd,groups|US,73CMXB1,PowerEdge 2850,,0,13,E,0,10,a,4,1,konsole122.scd.yahoo.com,30008,konsole16.scd.yahoo.com,30048,0,2,konsole29.scd.yahoo.com,30001,0,2,,0,,,,00:18:8b:32:18:ed,Dell Computer Corporation,FreeBSD,1171094344,1210842180,2007-02-09 23:59:04,2008-05-15 02:03:00,,unvalidated nodes,
223696,m5.grp.re1.yahoo.com,1029157,,a,host,Cabinet-273602.ops.re1.yahoo.com,active,re1,groups|US,FKH0XC1,PowerEdge 2950,88357,0,11,0,7,22,a,9,2,konsole7-11-22.re1.yahoo.com,30009,konsole7-11-22.re1.yahoo.com,30045,0,22,,0,0,0,,0,c3560-a90.re1.yahoo.com,Gi0/9,27,00:19:B9:C2:AA:64,Dell Computer Corporation,FreeBSD,1180188842,1234755855,2007-05-26 07:14:02,2009-02-15 19:44:15,,validated hosts,
393603,m5.grp.sp2.yahoo.com,434626,,1-prd,host,cabinet-3-a5-29.ops.sp2.yahoo.com,active,sp2,groups|US,USE835N83J,ProLiant DL180 G5,,3,5,A,0,29,a,23,2,konsole1-3-a5-29.ops.sp2.yahoo.com,30023,konsole1-3-a5-29.ops.sp2.yahoo.com,30046,,10,,,,,rsw33-1-prd.sp2.yahoo.com,23,rsw33-1-prd.sp2.yahoo.com,Gi1/23,124,00:21:5A:E0:C3:4F,HP,FreeBSD,1226446348,1232662426,2008-11-11 15:32:28,2009-01-22 14:13:46,,validated hosts,
199882,m50.grp.scd.yahoo.com,1020178,,a,host,,active,scd,groups|US,4VBMXB1,PowerEdge 2850,,0,13,E,0,10,a,6,1,konsole122.scd.yahoo.com,30009,konsole16.scd.yahoo.com,30048,0,3,konsole29.scd.yahoo.com,30001,0,3,,0,,,,00:18:8b:32:1b:39,Dell Computer Corporation,FreeBSD,1171094344,1210842181,2007-02-09 23:59:04,2008-05-15 02:03:01,,unvalidated nodes,
199883,m51.grp.scd.yahoo.com,1020179,,a,host,,active,scd,groups|US,1VBMXB1,PowerEdge 2850,,0,13,E,0,10,a,8,1,konsole122.scd.yahoo.com,30010,konsole16.scd.yahoo.com,30048,0,4,konsole29.scd.yahoo.com,30001,0,4,,0,,,,00:18:8b:32:1b:54,Dell Computer Corporation,FreeBSD,1171094345,1210842181,2007-02-09 23:59:05,2008-05-15 02:03:01,,unvalidated nodes,
227879,m52.grp.scd.yahoo.com,1029053,,a,host,,active,scd,groups|US,6NRZWC1,PowerEdge 2950,,0,3,A,0,1,a,12,2,konsole233.scd.yahoo.com,30027,konsole233.scd.yahoo.com,30003,0,6,,0,0,0,,0,,,,00:19:b9:c3:92:ee,Dell Computer Corporation,FreeBSD,1181844204,1232662394,2007-06-14 11:03:24,2009-01-22 14:13:14,,unvalidated nodes,
227882,m53.grp.scd.yahoo.com,1029033,,a,host,,active,scd,groups|US,8BJZWC1,PowerEdge 2950,,0,3,A,0,3,a,12,2,konsole130.scd.yahoo.com,30014,konsole130.scd.yahoo.com,30004,0,6,,0,0,0,,0,,,,00:19:b9:c3:c0:6d,Dell Computer Corporation,FreeBSD,1181844204,1232662394,2007-06-14 11:03:24,2009-01-22 14:13:14,,unvalidated nodes,
227878,m54.grp.scd.yahoo.com,1029066,,a,host,,active,scd,groups|US,4NRZWC1,PowerEdge 2950,,0,3,A,0,1,a,14,2,konsole233.scd.yahoo.com,30030,konsole233.scd.yahoo.com,30003,0,7,,0,0,0,,0,,,,00:19:b9:c3:aa:ce,Dell Computer Corporation,FreeBSD,1181844203,1232662394,2007-06-14 11:03:23,2009-01-22 14:13:14,,unvalidated nodes,
